Price,Adj Close,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,,
2016-09-01,111.44054412841797,118.72000122070312,119.22000122070312,113.62999725341797,116.4800033569336,540756600
2016-10-01,110.09175872802734,116.98999786376953,119.66000366210938,115.94000244140625,118.56999969482422,406941800
2016-11-01,110.57170867919922,117.5,119.51000213623047,113.44999694824219,117.19000244140625,598118800
2016-12-01,111.49390411376953,118.4800033569336,121.5199966430664,115.22000122070312,117.45999908447266,498414300
2017-01-01,117.57147216796875,124.56999969482422,125.91999816894531,118.88999938964844,119.2699966430664,366254600
2017-02-01,122.71529388427734,130.02000427246094,130.6999969482422,124.86000061035156,125.44999694824219,307437600
2017-03-01,124.94269561767578,132.3800048828125,132.74000549316406,129.39999389648438,130.85000610351562,442963500
2017-04-01,128.61685180664062,135.99000549316406,136.33999633789062,130.3800048828125,132.49000549316406,388248100
2017-05-01,133.62945556640625,141.2899932861328,141.83999633789062,135.8699951171875,136.44000244140625,532489700
2017-06-01,130.17735290527344,137.63999938964844,143.89999389648438,136.25,141.5800018310547,1046003200
2017-07-01,135.8333282470703,143.22999572753906,145.9600067138672,135.8000030517578,138.27000427246094,705002300
2017-08-01,138.6499481201172,146.1999969482422,146.2100067138672,140.17999267578125,143.72000122070312,810771900
2017-09-01,137.93870544433594,145.4499969482422,146.58999633789062,142.10000610351562,146.38999938964844,631562000
2017-10-01,144.60855102539062,152.14999389648438,152.3699951171875,144.92999267578125,145.6699981689453,549094600
2017-11-01,147.45989990234375,155.14999389648438,156.69000244140625,150.77000427246094,152.75999450683594,584198400
2017-12-01,148.0395965576172,155.75999450683594,158.77000427246094,152.05999755859375,154.1999969482422,622383900
2018-01-01,161.34019470214844,169.39999389648438,170.9499969482422,156.1699981689453,156.55999755859375,698394900
2018-02-01,159.25442504882812,167.2100067138672,170.72999572753906,150.1300048828125,168.10000610351562,1179841200
2018-03-01,152.51124572753906,160.1300048828125,175.2100067138672,156.0399932861328,167.3000030517578,1085306700
2018-04-01,153.5314178466797,160.94000244140625,167.0,153.8800048828125,158.99000549316406,987380500
2018-05-01,162.24110412597656,170.07000732421875,171.1999969482422,159.22000122070312,160.52000427246094,687987000
2018-06-01,163.74835205078125,171.64999389648438,177.97999572753906,169.1699981689453,170.9199981689453,784338500
2018-07-01,168.68771362304688,176.4499969482422,182.92999267578125,169.6699981689453,170.0399932861328,708010500
2018-08-01,178.4390106201172,186.64999389648438,187.52000427246094,175.7899932861328,176.86000061035156,667523000
2018-09-01,177.6168212890625,185.7899932861328,186.49000549316406,180.44000244140625,186.0800018310547,645534400
2018-10-01,162.6415252685547,169.82000732421875,187.52999877929688,160.08999633789062,186.8699951171875,1817070600
2018-11-01,162.21058654785156,169.3699951171875,175.5800018310547,157.1300048828125,170.07000732421875,1152121500
2018-12-01,147.73927307128906,154.25999450683594,173.30999755859375,143.4600067138672,173.11000061035156,1395544900
2019-01-01,161.5124053955078,168.16000366210938,168.99000549316406,149.49000549316406,150.99000549316406,933706500
2019-02-01,166.34359741210938,173.19000244140625,174.66000366210938,166.57000732421875,167.3300018310547,535964100
2019-03-01,172.55784606933594,179.66000366210938,182.8300018310547,169.33999633789062,174.44000244140625,781972700
2019-04-01,182.3785858154297,189.5399932861328,191.32000732421875,180.77000427246094,181.50999450683594,550157700
2019-05-01,167.37765502929688,173.9499969482422,191.32000732421875,173.8699951171875,190.77999877929688,901554000
2019-06-01,179.68438720703125,186.74000549316406,189.77000427246094,169.27000427246094,173.47999572753906,688730400
2019-07-01,184.2861785888672,191.10000610351562,195.5500030517578,188.3800048828125,190.32000732421875,494025500
2019-08-01,180.78565979003906,187.47000122070312,194.97999572753906,179.1999969482422,191.42999267578125,814286500
2019-09-01,182.07781982421875,188.80999755859375,194.7100067138672,185.02999877929688,186.22000122070312,550650200
2019-10-01,190.436279296875,197.0800018310547,197.8300018310547,181.82000732421875,189.5,576983400
2019-11-01,198.18588256835938,205.10000610351562,206.0500030517578,197.6300048828125,197.92999267578125,351429700
2019-12-01,205.44271850585938,212.61000061035156,214.55999755859375,199.22999572753906,205.11000061035156,429951100
2020-01-01,212.14390563964844,219.07000732421875,225.8800048828125,212.24000549316406,214.39999389648438,585493000
2020-02-01,199.29344177246094,205.8000030517578,237.47000122070312,198.1699981689453,220.13999938964844,952392300
2020-03-01,184.38027954101562,190.39999389648438,219.61000061035156,164.92999267578125,208.8800048828125,2191775700
2020-04-01,212.44070434570312,218.91000366210938,220.0399932861328,180.86000061035156,184.77000427246094,1092071200
2020-05-01,226.46368408203125,233.36000061035156,233.60000610351562,211.1199951171875,214.5,846592000
2020-06-01,240.28282165527344,247.60000610351562,251.14999389648438,231.47000122070312,232.4600067138672,928360400
2020-07-01,258.3838806152344,265.7900085449219,269.7900085449219,247.0800018310547,247.63999938964844,924935100
2020-08-01,286.6632080078125,294.8800048828125,296.75,264.6300048828125,268.0,701414600
2020-09-01,270.0980529785156,277.8399963378906,303.5,260.1099853515625,297.6199951171875,1325374300
2020-10-01,261.87384033203125,269.3800048828125,297.4599914550781,267.07000732421875,281.7900085449219,936826500
2020-11-01,291.2712097167969,299.6199951171875,300.1700134277344,266.9700012207031,271.8500061035156,751645800
2020-12-01,304.9977111816406,313.739990234375,314.69000244140625,298.0899963378906,301.9700012207031,569870600
2021-01-01,306.3491516113281,314.55999755859375,330.32000732421875,305.17999267578125,315.1099853515625,655263000
2021-02-01,305.94012451171875,314.1400146484375,338.19000244140625,310.8800048828125,318.1099853515625,795468600
2021-03-01,310.7999267578125,319.1300048828125,324.3299865722656,297.45001220703125,319.2699890136719,1621173600
2021-04-01,329.5833740234375,337.989990234375,342.79998779296875,322.80999755859375,323.07000732421875,771139800
2021-05-01,325.6242980957031,333.92999267578125,340.0,316.0,339.2300109863281,965410800
2021-06-01,345.6144104003906,354.42999267578125,355.2300109863281,328.2799987792969,335.29998779296875,751288500
2021-07-01,355.91461181640625,364.57000732421875,368.8900146484375,352.0400085449219,354.07000732421875,813285700
2021-08-01,370.929443359375,379.95001220703125,380.760009765625,359.9599914550781,366.2799987792969,683466500
2021-09-01,349.4614562988281,357.9599914550781,382.7799987792969,357.1000061035156,381.0400085449219,931849900
2021-10-01,377.3611145019531,386.1099853515625,386.2799987792969,350.32000732421875,358.6000061035156,878747900
2021-11-01,384.8963928222656,393.82000732421875,408.7099914550781,384.4200134277344,386.55999755859375,922244500
2021-12-01,388.8351135253906,397.8500061035156,404.5799865722656,377.4700012207031,398.2799987792969,1232817200
2022-01-01,355.2768249511719,363.04998779296875,402.2799987792969,334.1499938964844,399.04998779296875,1847203000
2022-02-01,339.3747253417969,346.79998779296875,370.1000061035156,318.260009765625,364.42999267578125,1522923600
